dimension,split,label,value,count
split,dev,False,dev,600
split,dev,True,dev,600
split,dev,Unknown,dev,600
split,eval,False,eval,2400
split,eval,True,eval,2400
split,eval,Unknown,eval,2400
split,train,False,train,2400
split,train,True,train,2400
split,train,Unknown,train,2400
label,dev,False,False,600
label,dev,True,True,600
label,dev,Unknown,Unknown,600
label,eval,False,False,2400
label,eval,True,True,2400
label,eval,Unknown,Unknown,2400
label,train,False,False,2400
label,train,True,True,2400
label,train,Unknown,Unknown,2400
template_family,dev,False,all,88
template_family,dev,False,and,96
template_family,dev,False,at_least_two,48
template_family,dev,False,attr,104
template_family,dev,False,exactly_one,24
template_family,dev,False,negation,56
template_family,dev,False,none,88
template_family,dev,False,or,16
template_family,dev,False,rel,72
template_family,dev,False,some,8
template_family,dev,True,all,8
template_family,dev,True,and,16
template_family,dev,True,at_least_two,32
template_family,dev,True,attr,112
template_family,dev,True,exactly_one,16
template_family,dev,True,negation,120
template_family,dev,True,none,24
template_family,dev,True,or,112
template_family,dev,True,rel,64
template_family,dev,True,some,96
template_family,dev,Unknown,all,104
template_family,dev,Unknown,and,56
template_family,dev,Unknown,at_least_two,120
template_family,dev,Unknown,attr,8
template_family,dev,Unknown,exactly_one,80
template_family,dev,Unknown,negation,32
template_family,dev,Unknown,none,72
template_family,dev,Unknown,or,32
template_family,dev,Unknown,rel,72
template_family,dev,Unknown,some,24
template_family,eval,False,all,336
template_family,eval,False,and,528
template_family,eval,False,at_least_two,176
template_family,eval,False,attr,304
template_family,eval,False,exactly_one,104
template_family,eval,False,negation,304
template_family,eval,False,none,256
template_family,eval,False,or,88
template_family,eval,False,rel,248
template_family,eval,False,some,56
template_family,eval,True,all,40
template_family,eval,True,and,160
template_family,eval,True,at_least_two,24
template_family,eval,True,attr,448
template_family,eval,True,exactly_one,40
template_family,eval,True,negation,264
template_family,eval,True,none,72
template_family,eval,True,or,624
template_family,eval,True,rel,304
template_family,eval,True,some,424
template_family,eval,Unknown,all,352
template_family,eval,Unknown,and,184
template_family,eval,Unknown,at_least_two,200
template_family,eval,Unknown,attr,64
template_family,eval,Unknown,exactly_one,472
template_family,eval,Unknown,negation,128
template_family,eval,Unknown,none,264
template_family,eval,Unknown,or,184
template_family,eval,Unknown,rel,248
template_family,eval,Unknown,some,304
template_family,train,False,all,272
template_family,train,False,and,360
template_family,train,False,at_least_two,280
template_family,train,False,attr,264
template_family,train,False,exactly_one,128
template_family,train,False,negation,296
template_family,train,False,none,392
template_family,train,False,or,64
template_family,train,False,rel,280
template_family,train,False,some,64
template_family,train,True,all,40
template_family,train,True,and,128
template_family,train,True,at_least_two,24
template_family,train,True,attr,368
