question_id,n_valid,n_correct,n_wrong,mixed_labels,mean_correct_to_correct_centroid,mean_wrong_to_correct_centroid
q_0001,5,3,2,True,11.606883684794107,21.213947296142578
q_0002,10,10,0,False,12.100353527069093,
q_0003,3,3,0,False,15.227603912353516,
q_0004,5,1,4,True,,
q_0005,3,3,0,False,18.557979901631672,
q_0006,2,0,2,False,,
q_0007,10,10,0,False,28.03471393585205,
q_0008,1,0,1,False,,
q_0009,0,0,0,False,,
q_0010,9,9,0,False,14.309553570217556,
q_0011,5,5,0,False,19.435378074645996,
q_0012,9,9,0,False,10.78698534435696,
q_0013,1,0,1,False,,
q_0014,0,0,0,False,,
q_0015,3,0,3,False,,
q_0016,7,7,0,False,15.804161071777344,
q_0017,10,10,0,False,19.656940364837645,
q_0018,4,3,1,True,9.125655174255371,35.28054428100586
q_0019,5,3,2,True,16.785382906595867,18.812763690948486
q_0020,1,0,1,False,,
